HomeTeam,AwayTeam,ScoreHome,ScoreAway,TotalScore
Houston Rockets,Miami Heat,94,101,195
Los Angeles Lakers,Oklahoma City Thunder,114,113,227
Phoenix Suns,Milwaukee Bucks,125,124,249
Chicago Bulls,New Orleans Pelicans,129,116,245
Denver Nuggets,Cleveland Cavaliers,133,95,228
Brooklyn Nets,Indiana Pacers,104,94,198
Memphis Grizzlies,Charlotte Hornets,130,114,244
Minnesota Timberwolves,Los Angeles Clippers,112,119,231
Dallas Mavericks,Atlanta Hawks,118,117,235
Washington Wizards,Toronto Raptors,115,137,252
Portland Trail Blazers,Orlando Magic,106,97,203
Sacramento Kings,Philadelphia 76ers,111,119,230
Utah Jazz,Boston Celtics,122,108,230
San Antonio Spurs,Golden State Warriors,91,114,205
Miami Heat,New York Knicks,98,96,194
New Orleans Pelicans,Houston Rockets,130,101,231
Detroit Pistons,Brooklyn Nets,122,111,233
Los Angeles Lakers,Oklahoma City Thunder,119,112,231
Denver Nuggets,Milwaukee Bucks,112,125,237
Phoenix Suns,Cleveland Cavaliers,119,113,232
Dallas Mavericks,Minnesota Timberwolves,127,122,249
San Antonio Spurs,Golden State Warriors,105,100,205
Chicago Bulls,Washington Wizards,101,105,206
Memphis Grizzlies,Toronto Raptors,113,128,241
Charlotte Hornets,Houston Rockets,119,94,213
Los Angeles Clippers,Sacramento Kings,110,113,223
Phoenix Suns,Boston Celtics,100,91,191
Charlotte Hornets,Washington Wizards,119,97,216
Indiana Pacers,Utah Jazz,95,103,198
New York Knicks,Miami Heat,103,109,212
Los Angeles Lakers,Detroit Pistons,135,129,264
New Orleans Pelicans,Memphis Grizzlies,118,109,227
Dallas Mavericks,Golden State Warriors,134,132,266
Atlanta Hawks,Toronto Raptors,132,121,253
Cleveland Cavaliers,Milwaukee Bucks,99,124,223
Houston Rockets,San Antonio Spurs,106,111,217
Oklahoma City Thunder,Minnesota Timberwolves,120,118,238
Philadelphia 76ers,Brooklyn Nets,124,108,232
Orlando Magic,Chicago Bulls,92,118,210
Sacramento Kings,Denver Nuggets,119,114,233
New York Knicks,Portland Trail Blazers,110,99,209
Los Angeles Clippers,Boston Celtics,115,119,234
Phoenix Suns,Detroit Pistons,109,92,201
Charlotte Hornets,Utah Jazz,121,138,259
Miami Heat,Washington Wizards,122,95,217
Oklahoma City Thunder,Minnesota Timberwolves,103,106,209
Brooklyn Nets,Toronto Raptors,117,123,240
Cleveland Cavaliers,Milwaukee Bucks,105,123,228
Indiana Pacers,New Orleans Pelicans,113,114,227
Orlando Magic,Chicago Bulls,123,119,242
Los Angeles Lakers,Denver Nuggets,114,93,207
Memphis Grizzlies,Houston Rockets,103,115,218
Philadelphia 76ers,Portland Trail Blazers,105,121,226
Atlanta Hawks,Utah Jazz,91,112,203
Dallas Mavericks,Golden State Warriors,116,147,263
Sacramento Kings,Boston Celtics,116,111,227
New Orleans Pelicans,Phoenix Suns,123,101,224
San Antonio Spurs,Minnesota Timberwolves,111,108,219
Chicago Bulls,New York Knicks,103,107,210
Cleveland Cavaliers,Los Angeles Clippers,99,121,220
Miami Heat,Washington Wizards,100,103,203
Oklahoma City Thunder,Houston Rockets,104,87,191
Atlanta Hawks,Dallas Mavericks,116,122,238
Charlotte Hornets,Philadelphia 76ers,111,118,229
Milwaukee Bucks,Indiana Pacers,130,110,240
Golden State Warriors,Boston Celtics,107,111,218
Utah Jazz,Detroit Pistons,117,105,222
Indiana Pacers,Memphis Grizzlies,134,116,250
Washington Wizards,Portland Trail Blazers,121,132,253
Brooklyn Nets,Los Angeles Clippers,124,120,244
Orlando Magic,Toronto Raptors,108,123,231
Dallas Mavericks,Phoenix Suns,108,109,217
San Antonio Spurs,Memphis Grizzlies,102,133,235
Chicago Bulls,New York Knicks,110,102,212
Cleveland Cavaliers,Minnesota Timberwolves,100,98,198
Milwaukee Bucks,Portland Trail Blazers,134,106,240
New Orleans Pelicans,Sacramento Kings,109,118,227
Oklahoma City Thunder,Houston Rockets,106,136,242
Atlanta Hawks,Los Angeles Lakers,99,107,206
Miami Heat,Charlotte Hornets,121,129,250
Minnesota Timberwolves,Cleveland Cavaliers,109,104,213
Indiana Pacers,Philadelphia 76ers,110,119,229
Toronto Raptors,Orlando Magic,115,102,217
Washington Wizards,Brooklyn Nets,149,146,295
Denver Nuggets,Utah Jazz,128,117,245
New York Knicks,Los Angeles Clippers,115,129,244
Golden State Warriors,Detroit Pistons,118,91,209
Dallas Mavericks,Phoenix Suns,105,111,216
Boston Celtics,Los Angeles Lakers,95,96,191
San Antonio Spurs,Memphis Grizzlies,112,129,241
Charlotte Hornets,Milwaukee Bucks,126,114,240
Chicago Bulls,Portland Trail Blazers,122,123,245
Miami Heat,Sacramento Kings,105,104,209
New Orleans Pelicans,Houston Rockets,112,126,238
Utah Jazz,Dallas Mavericks,120,101,221
San Antonio Spurs,Denver Nuggets,119,109,228
Minnesota Timberwolves,Philadelphia 76ers,94,118,212
Oklahoma City Thunder,Brooklyn Nets,125,147,272
Orlando Magic,Los Angeles Clippers,90,116,206
New Orleans Pelicans,Milwaukee Bucks,131,126,257
New York Knicks,Cleveland Cavaliers,102,81,183
Toronto Raptors,Sacramento Kings,124,126,250
Charlotte Hornets,Indiana Pacers,108,105,213
Washington Wizards,Atlanta Hawks,100,116,216
Phoenix Suns,Golden State Warriors,114,93,207
Detroit Pistons,Los Angeles Lakers,107,92,199
Miami Heat,Los Angeles Clippers,105,109,214
Houston Rockets,Portland Trail Blazers,104,101,205
Golden State Warriors,Minnesota Timberwolves,123,111,234
New Orleans Pelicans,Washington Wizards,124,106,230
Phoenix Suns,Oklahoma City Thunder,97,102,199
Utah Jazz,Dallas Mavericks,116,104,220
San Antonio Spurs,Boston Celtics,110,106,216
Atlanta Hawks,Brooklyn Nets,128,132,260
Miami Heat,Denver Nuggets,82,109,191
Philadelphia 76ers,Los Angeles Lakers,107,106,213
Toronto Raptors,Milwaukee Bucks,108,115,223
Charlotte Hornets,Indiana Pacers,106,116,222
Cleveland Cavaliers,Detroit Pistons,122,107,229
Orlando Magic,Sacramento Kings,107,121,228
Utah Jazz,New York Knicks,108,94,202
Houston Rockets,Washington Wizards,107,88,195
Atlanta Hawks,Los Angeles Clippers,108,99,207
Golden State Warriors,Minnesota Timberwolves,130,108,238
Portland Trail Blazers,Oklahoma City Thunder,122,125,247
Chicago Bulls,Boston Celtics,103,119,222
Dallas Mavericks,Denver Nuggets,113,117,230
Cleveland Cavaliers,Los Angeles Lakers,108,115,223
Brooklyn Nets,Miami Heat,98,85,183
Detroit Pistons,Philadelphia 76ers,119,104,223
Indiana Pacers,Toronto Raptors,129,114,243
Orlando Magic,Charlotte Hornets,117,108,225
Portland Trail Blazers,New York Knicks,116,113,229
Milwaukee Bucks,Atlanta Hawks,129,115,244
San Antonio Spurs,Washington Wizards,121,101,222
Boston Celtics,Cleveland Cavaliers,141,103,244
Orlando Magic,Charlotte Hornets,104,107,211
Los Angeles Clippers,Oklahoma City Thunder,108,100,208
Indiana Pacers,Toronto Raptors,102,107,209
Chicago Bulls,Los Angeles Lakers,90,101,191
Dallas Mavericks,Houston Rockets,108,133,241
Phoenix Suns,Denver Nuggets,112,120,232
Utah Jazz,Golden State Warriors,127,108,235
Brooklyn Nets,Miami Heat,128,124,252
Detroit Pistons,Philadelphia 76ers,110,114,224
Minnesota Timberwolves,New Orleans Pelicans,120,110,230
Los Angeles Clippers,Oklahoma City Thunder,120,106,226
Phoenix Suns,Denver Nuggets,126,130,256
Sacramento Kings,New York Knicks,103,94,197
San Antonio Spurs,Dallas Mavericks,117,122,239
Minnesota Timberwolves,Atlanta Hawks,98,116,214
Cleveland Cavaliers,Brooklyn Nets,125,113,238
Philadelphia 76ers,Boston Celtics,122,110,232
Toronto Raptors,Miami Heat,101,81,182
Charlotte Hornets,Chicago Bulls,110,123,233
Detroit Pistons,Houston Rockets,102,103,205
Indiana Pacers,Orlando Magic,120,118,238
Golden State Warriors,New York Knicks,104,119,223
Utah Jazz,New Orleans Pelicans,129,118,247
Milwaukee Bucks,Los Angeles Lakers,106,113,219
Golden State Warriors,San Antonio Spurs,121,99,220
Los Angeles Clippers,Sacramento Kings,115,96,211
Houston Rockets,Phoenix Suns,103,109,212
Minnesota Timberwolves,Orlando Magic,96,97,193
Atlanta Hawks,Detroit Pistons,123,115,238
Toronto Raptors,Miami Heat,102,111,213
Cleveland Cavaliers,Brooklyn Nets,147,135,282
Indiana Pacers,Dallas Mavericks,112,124,236
Philadelphia 76ers,Boston Celtics,117,109,226
Denver Nuggets,Oklahoma City Thunder,119,101,220
Utah Jazz,New Orleans Pelicans,118,102,220
Los Angeles Lakers,Golden State Warriors,113,115,228
Chicago Bulls,Houston Rockets,125,120,245
Miami Heat,Detroit Pistons,113,107,220
Brooklyn Nets,Milwaukee Bucks,125,123,248
Toronto Raptors,Dallas Mavericks,116,93,209
Memphis Grizzlies,Phoenix Suns,108,104,212
Portland Trail Blazers,San Antonio Spurs,104,125,229
Atlanta Hawks,Minnesota Timberwolves,108,97,205
New York Knicks,Orlando Magic,91,84,175
Los Angeles Clippers,Indiana Pacers,129,96,225
Sacramento Kings,New Orleans Pelicans,123,128,251
Denver Nuggets,Utah Jazz,105,109,214
Dallas Mavericks,Chicago Bulls,101,117,218
Boston Celtics,New York Knicks,75,105,180
Portland Trail Blazers,Atlanta Hawks,112,106,218
Memphis Grizzlies,Philadelphia 76ers,106,104,210
Miami Heat,Detroit Pistons,100,120,220
Toronto Raptors,Charlotte Hornets,116,113,229
Brooklyn Nets,Orlando Magic,122,115,237
San Antonio Spurs,Houston Rockets,103,91,194
Los Angeles Lakers,New Orleans Pelicans,112,95,207
Sacramento Kings,Los Angeles Clippers,100,138,238
Utah Jazz,Atlanta Hawks,116,92,208
Oklahoma City Thunder,Chicago Bulls,127,125,252
Boston Celtics,Orlando Magic,124,97,221
Cleveland Cavaliers,New York Knicks,106,103,209
Milwaukee Bucks,Dallas Mavericks,112,109,221
Denver Nuggets,Golden State Warriors,114,104,218
Portland Trail Blazers,Indiana Pacers,87,111,198
San Antonio Spurs,Houston Rockets,105,109,214
Toronto Raptors,Charlotte Hornets,111,108,219
Philadelphia 76ers,Miami Heat,125,108,233
Los Angeles Clippers,New Orleans Pelicans,111,106,217
Sacramento Kings,Portland Trail Blazers,126,132,258
Minnesota Timberwolves,Memphis Grizzlies,107,118,225
Oklahoma City Thunder,Los Angeles Lakers,99,128,227
New York Knicks,Brooklyn Nets,109,116,225
Charlotte Hornets,Dallas Mavericks,93,104,197
Detroit Pistons,Milwaukee Bucks,101,110,211
Golden State Warriors,Indiana Pacers,95,104,199
Houston Rockets,Los Angeles Lakers,100,117,217
Oklahoma City Thunder,San Antonio Spurs,102,112,214
Brooklyn Nets,Denver Nuggets,122,116,238
Cleveland Cavaliers,Utah Jazz,87,117,204
Philadelphia 76ers,Miami Heat,137,134,271
Portland Trail Blazers,Toronto Raptors,112,111,223
Sacramento Kings,Indiana Pacers,127,122,249
Atlanta Hawks,Philadelphia 76ers,112,94,206
Charlotte Hornets,New York Knicks,109,88,197
Cleveland Cavaliers,Memphis Grizzlies,91,101,192
Orlando Magic,Milwaukee Bucks,99,121,220
Washington Wizards,Phoenix Suns,128,107,235
Golden State Warriors,Toronto Raptors,106,105,211
Minnesota Timberwolves,San Antonio Spurs,96,88,184
Houston Rockets,Los Angeles Lakers,102,120,222
Brooklyn Nets,Oklahoma City Thunder,116,129,245
New York Knicks,Denver Nuggets,89,114,203
Los Angeles Clippers,Chicago Bulls,130,127,257
Detroit Pistons,Utah Jazz,86,96,182
Sacramento Kings,Portland Trail Blazers,99,125,224
Dallas Mavericks,Orlando Magic,112,98,210
Milwaukee Bucks,Cleveland Cavaliers,100,90,190
Minnesota Timberwolves,San Antonio Spurs,122,125,247
Charlotte Hornets,Atlanta Hawks,113,105,218
Indiana Pacers,Phoenix Suns,117,125,242
Washington Wizards,Miami Heat,124,128,252
Philadelphia 76ers,Denver Nuggets,103,115,218
Golden State Warriors,Los Angeles Clippers,115,105,220
Los Angeles Lakers,Chicago Bulls,117,115,232
Sacramento Kings,Toronto Raptors,123,144,267
Houston Rockets,Orlando Magic,132,90,222
Memphis Grizzlies,Brooklyn Nets,115,110,225
Milwaukee Bucks,Utah Jazz,118,131,249
Boston Celtics,Washington Wizards,116,107,223
New Orleans Pelicans,Charlotte Hornets,110,118,228
New York Knicks,Oklahoma City Thunder,89,101,190
Detroit Pistons,Phoenix Suns,110,105,215
Denver Nuggets,Dallas Mavericks,117,124,241
Los Angeles Lakers,San Antonio Spurs,109,118,227
Portland Trail Blazers,Minnesota Timberwolves,135,117,252
Memphis Grizzlies,Cleveland Cavaliers,90,94,184
Brooklyn Nets,Philadelphia 76ers,122,109,231
Golden State Warriors,Los Angeles Clippers,101,108,209
Sacramento Kings,Chicago Bulls,128,124,252
Phoenix Suns,Toronto Raptors,123,115,238
Milwaukee Bucks,Detroit Pistons,130,115,245
New Orleans Pelicans,Oklahoma City Thunder,110,111,221
Atlanta Hawks,Charlotte Hornets,94,102,196
Miami Heat,Boston Celtics,105,107,212
New York Knicks,Utah Jazz,112,100,212
Indiana Pacers,Houston Rockets,114,107,221
Orlando Magic,Cleveland Cavaliers,105,94,199
Philadelphia 76ers,Washington Wizards,141,136,277
Portland Trail Blazers,Chicago Bulls,108,111,219
Los Angeles Clippers,San Antonio Spurs,113,116,229
Denver Nuggets,Minnesota Timberwolves,123,116,239
Memphis Grizzlies,Los Angeles Lakers,92,94,186
Brooklyn Nets,Utah Jazz,130,96,226
Golden State Warriors,Sacramento Kings,137,106,243
Houston Rockets,Dallas Mavericks,100,113,213
Milwaukee Bucks,Detroit Pistons,125,115,240
New Orleans Pelicans,Indiana Pacers,116,118,234
Atlanta Hawks,New York Knicks,108,113,221
Miami Heat,Oklahoma City Thunder,118,90,208
Toronto Raptors,Boston Celtics,114,126,240
Orlando Magic,Cleveland Cavaliers,103,83,186
Philadelphia 76ers,Charlotte Hornets,118,101,219
Golden State Warriors,Portland Trail Blazers,137,122,259
Chicago Bulls,Dallas Mavericks,118,108,226
Phoenix Suns,Los Angeles Clippers,107,112,219
Minnesota Timberwolves,Denver Nuggets,109,124,233
San Antonio Spurs,Utah Jazz,109,130,239
Brooklyn Nets,Washington Wizards,122,123,245
Memphis Grizzlies,Los Angeles Lakers,94,108,202
Detroit Pistons,Boston Celtics,120,122,242
Atlanta Hawks,Cleveland Cavaliers,91,96,187
New Orleans Pelicans,Toronto Raptors,120,116,236
Indiana Pacers,New York Knicks,102,106,208
Orlando Magic,Oklahoma City Thunder,99,108,207
Philadelphia 76ers,Charlotte Hornets,127,112,239
Houston Rockets,Sacramento Kings,102,94,196
Golden State Warriors,Portland Trail Blazers,98,123,221
Denver Nuggets,Phoenix Suns,103,106,209
Utah Jazz,Los Angeles Clippers,106,100,206
Milwaukee Bucks,Chicago Bulls,126,96,222
Minnesota Timberwolves,Washington Wizards,109,130,239
San Antonio Spurs,Los Angeles Lakers,103,109,212
Brooklyn Nets,Atlanta Hawks,96,114,210
Charlotte Hornets,Memphis Grizzlies,93,108,201
Dallas Mavericks,Miami Heat,93,83,176
Detroit Pistons,Boston Celtics,96,93,189
Utah Jazz,Phoenix Suns,95,106,201
Oklahoma City Thunder,New Orleans Pelicans,80,113,193
Toronto Raptors,New York Knicks,100,83,183
Houston Rockets,Sacramento Kings,122,119,241
Orlando Magic,Philadelphia 76ers,92,116,208
Washington Wizards,Chicago Bulls,130,133,263
Indiana Pacers,Cleveland Cavaliers,119,99,218
Los Angeles Clippers,Portland Trail Blazers,128,105,233
Dallas Mavericks,Charlotte Hornets,99,118,217
San Antonio Spurs,Los Angeles Lakers,107,121,228
Boston Celtics,Memphis Grizzlies,126,107,233
Brooklyn Nets,Atlanta Hawks,145,141,286
Miami Heat,Milwaukee Bucks,119,108,227
Los Angeles Clippers,Minnesota Timberwolves,124,101,225
Phoenix Suns,New Orleans Pelicans,111,86,197
Sacramento Kings,Denver Nuggets,125,115,240
Oklahoma City Thunder,Orlando Magic,107,118,225
Miami Heat,Milwaukee Bucks,97,144,241
Cleveland Cavaliers,New York Knicks,86,95,181
Detroit Pistons,Golden State Warriors,106,116,222
Indiana Pacers,Boston Celtics,111,116,227
Philadelphia 76ers,Toronto Raptors,100,93,193
Washington Wizards,Chicago Bulls,107,115,222
Los Angeles Lakers,Portland Trail Blazers,107,115,222
Denver Nuggets,Houston Rockets,124,111,235
Oklahoma City Thunder,Utah Jazz,109,110,219
Atlanta Hawks,Detroit Pistons,128,120,248
Brooklyn Nets,Memphis Grizzlies,111,116,227
Los Angeles Lakers,Minnesota Timberwolves,127,91,218
Sacramento Kings,Phoenix Suns,100,116,216
Chicago Bulls,Golden State Warriors,128,129,257
Indiana Pacers,Boston Celtics,108,107,215
Cleveland Cavaliers,Philadelphia 76ers,118,94,212
New York Knicks,Milwaukee Bucks,130,110,240
Charlotte Hornets,Brooklyn Nets,106,104,210
New Orleans Pelicans,San Antonio Spurs,98,95,193
Washington Wizards,Orlando Magic,113,120,233
Los Angeles Clippers,Dallas Mavericks,73,124,197
Portland Trail Blazers,Houston Rockets,128,126,254
Sacramento Kings,Phoenix Suns,106,103,209
Utah Jazz,Minnesota Timberwolves,111,116,227
San Antonio Spurs,Toronto Raptors,119,114,233
Chicago Bulls,Indiana Pacers,106,125,231
New York Knicks,Philadelphia 76ers,89,109,198
Charlotte Hornets,Oklahoma City Thunder,107,109,216
Detroit Pistons,Cleveland Cavaliers,119,128,247
Washington Wizards,Orlando Magic,120,130,250
Memphis Grizzlies,Atlanta Hawks,112,122,234
Denver Nuggets,Los Angeles Clippers,108,121,229
Los Angeles Lakers,Dallas Mavericks,138,115,253
Boston Celtics,Brooklyn Nets,95,123,218
Milwaukee Bucks,Golden State Warriors,138,99,237
Miami Heat,New Orleans Pelicans,111,98,209
Phoenix Suns,Dallas Mavericks,106,102,208
Portland Trail Blazers,Utah Jazz,100,120,220
Denver Nuggets,Sacramento Kings,122,124,246
Chicago Bulls,Atlanta Hawks,104,124,228
Memphis Grizzlies,San Antonio Spurs,119,131,250
Minnesota Timberwolves,Detroit Pistons,111,101,212
Boston Celtics,Milwaukee Bucks,122,121,243
Toronto Raptors,New Orleans Pelicans,99,113,212
Cleveland Cavaliers,Charlotte Hornets,121,114,235
Indiana Pacers,New York Knicks,121,107,228
Orlando Magic,Miami Heat,113,107,220
Philadelphia 76ers,Washington Wizards,113,107,220
Los Angeles Lakers,Los Angeles Clippers,109,116,225
Brooklyn Nets,Golden State Warriors,125,99,224
Memphis Grizzlies,Atlanta Hawks,116,117,233
Orlando Magic,Charlotte Hornets,120,117,237
Washington Wizards,Detroit Pistons,99,96,195
Phoenix Suns,Los Angeles Lakers,113,114,227
Denver Nuggets,Portland Trail Blazers,129,96,225
Boston Celtics,Brooklyn Nets,89,113,202
New Orleans Pelicans,Milwaukee Bucks,127,113,240
Oklahoma City Thunder,Chicago Bulls,103,105,208
New York Knicks,Cleveland Cavaliers,119,83,202
Toronto Raptors,Miami Heat,105,117,222
Indiana Pacers,Philadelphia 76ers,107,113,220
Los Angeles Clippers,Utah Jazz,105,125,230
Sacramento Kings,Golden State Warriors,105,113,218
Dallas Mavericks,Minnesota Timberwolves,127,129,256
Houston Rockets,San Antonio Spurs,128,106,234
Memphis Grizzlies,Atlanta Hawks,128,106,234
Orlando Magic,Charlotte Hornets,115,123,238
Washington Wizards,Detroit Pistons,86,97,183
Denver Nuggets,Portland Trail Blazers,126,95,221
Phoenix Suns,Los Angeles Lakers,107,112,219
Oklahoma City Thunder,Chicago Bulls,103,124,227
New York Knicks,Cleveland Cavaliers,100,93,193
Sacramento Kings,Golden State Warriors,114,113,227
Houston Rockets,San Antonio Spurs,112,98,210
Philadelphia 76ers,Boston Celtics,108,99,207
Utah Jazz,Phoenix Suns,111,92,203
Milwaukee Bucks,Dallas Mavericks,112,128,240
Minnesota Timberwolves,Memphis Grizzlies,104,123,227
Charlotte Hornets,Toronto Raptors,109,112,221
Miami Heat,New Orleans Pelicans,92,114,206
Cleveland Cavaliers,Indiana Pacers,116,106,222
Portland Trail Blazers,Sacramento Kings,106,121,227
Los Angeles Lakers,Los Angeles Clippers,131,106,237
Chicago Bulls,Houston Rockets,104,91,195
Detroit Pistons,New York Knicks,99,91,190
Brooklyn Nets,Washington Wizards,119,114,233
Atlanta Hawks,Orlando Magic,116,107,223
Utah Jazz,Phoenix Suns,119,105,224
Golden State Warriors,Denver Nuggets,107,105,212
Milwaukee Bucks,Dallas Mavericks,102,112,214
Minnesota Timberwolves,Memphis Grizzlies,105,107,212
Charlotte Hornets,Toronto Raptors,100,111,211
Cleveland Cavaliers,Indiana Pacers,107,104,211
San Antonio Spurs,Oklahoma City Thunder,108,121,229
Portland Trail Blazers,Sacramento Kings,127,102,229
Los Angeles Lakers,Los Angeles Clippers,87,81,168
Chicago Bulls,Houston Rockets,104,125,229
Atlanta Hawks,Orlando Magic,112,116,228
Detroit Pistons,New York Knicks,84,90,174
